Language,original,english,russian,
"raidexit_unavailable","Exit is unavailable","Exit is unavailable","Выход недоступен",
"raidexit_nobackpack1","Remove the backpack before using the exit.","Remove the backpack before using the exit.","Снимите рюкзак перед использованием выхода.",
"raidexit_nobackpack2","You can't hold a backpack in your hands.","You can't hold a backpack in your hands.","Нельзя держать рюкзак в руках.",
"raidexit_teleportation","Teleportation","Teleportation","Телепортация",
"raidexit_tp10sec","You will be teleported in 10 seconds.","You will be teleported in 10 seconds.","Вы будете телепортированы через 10 секунд.",
"raidexit_nobackpack3","You've put on your backpack! The teleportation attempt has been canceled.","You've put on your backpack! The teleportation attempt has been canceled.","Вы надели рюкзак! Попытка телепортации отменена.",
"raidexit_nobackpack4","You picked up your backpack! The teleportation attempt was canceled.","You picked up your backpack! The teleportation attempt was canceled.","Вы взяли рюкзак в руки! Попытка телепортации отменена.",
"raidexit_successexit","You have successfully left the raid zone.","You have successfully left the raid zone.","Вы успешно покинули рейд-зону.",
"raidexit_tpdone","Teleportation is completed","Teleportation is completed","Телепортация выполнена",
"raidexit_tpcancel","Teleportation canceled","Teleportation canceled","Телепортация отменена",
"raidexit_exit","Exit","Exit","Выход",
"raidexit_notenoughmoney","Not enough money!","Not enough money!","Недостаточно средств!",
"raidexit_errormoney","Error when debiting money!","Error when debiting money!","Ошибка при списании денег!",
"raidexit_tp10sec_trigger","Teleportation in 10 seconds... Do not leave the area!","Teleportation in 10 seconds... Do not leave the area!","Телепортация через 10 секунд... Не покидайте зону!",
"raidexit_triggerleave","Teleportation has been canceled — you have left the area!","Teleportation has been canceled — you have left the area!","Телепортация отменена — вы покинули зону!",
"action_raidexit_money","Exit the raid for money","Exit the raid for money","Выход с рейда за деньги",
"action_raidexit_nobackpack","Exit (no backpack)","Exit (no backpack)","Выход (без рюкзака)",
"action_raidexit_withitem","Exit","Exit","Выход",
"action_raidexit_withitem2","There is no required item in the hands.","There is no required item in the hands.","Нет требуемого предмета в руках.",
